226.4016	2.30E+07	0.5	5	7
229.9858	6.90E+07	0.25	5	5
241.8362	1.20E+07	0.25	5	5
242.8214	7.70E+06	0.25	5	7
251.9025	5.90E+06	0.25	5	5
252.0542	3.80E+07	0.25	5	3
259.364	6.90E+06	0.25	5	7
259.9904	6.70E+07	0.25	5	5
263.2411	2.70E+07	0.25	5	5
264.1087	1.80E+08	0.25	5	3
265.7186	3.20E+06	0.25	5	7
266.1959	8.90E+06	0.25	5	7
293.3528	9.60E+06	0.25	5	7
294.1995	1.00E+08	0.25	5	5
297.0379	7.40E+06	0.25	5	5
318.6451	8.00E+07	0.25	5	7
334.1874	6.50E+07	0.25	5	7
334.85316	9.10E+05	0.25	5	3
335.82711	7.60E+06	0.25	5	5
337.04344	7.60E+07	0.25	5	3
363.54625	9.09E+07	0.03	5	7
363.7965	9.30E+05	0.25	5	7
364.6196	2.60E+06	0.25	5	5
365.45899	8.70E+06	0.25	5	3
371.73916	4.30E+06	0.25	5	7
372.98065	4.93E+07	0.03	5	5
388.99503	5.10E+05	0.25	5	5
389.84886	3.77E+05	0.03	5	7
391.47377	8.30E+05	0.25	5	3
392.14225	2.48E+06	0.03	5	5
392.9874	8.51E+06	0.03	5	5
394.86708	5.60E+07	0.03	5	3
396.28508	4.71E+06	0.03	5	7
398.17616	4.42E+07	0.03	5	5
398.24806	4.50E+06	0.25	5	5
446.2088	4.28E+04	0.03	5	7
465.6468	2.29E+06	0.03	5	7
499.7093	4.69E+05	0.03	5	5
501.4186	5.08E+06	0.1	5	3
514.7477	4.58E+05	0.1	5	7
517.374	4.23E+06	0.1	5	5
540.894	1.28E+04	0.03	5	3
